matricula,fecha_hora_entrada
1002,2026-04-02T20:41:58.981
1002,2026-04-02T20:42:21.260
1001,2026-04-02T20:54:29.679
1030,2026-04-02T20:54:39.628
1011,2026-04-02T20:55:08.385
1031,2026-04-02T20:55:24.604
102020,2026-04-02T20:55:37.744
13030,2026-04-02T20:55:47.856
1001,2026-04-18T10:30:18.396
1001,2026-04-18T10:38:29.731
1010,2026-04-30T14:22:04.574
1029,2026-04-30T14:22:10.580
1009,2026-04-30T14:22:22.585
1001,2026-04-30T15:03:31.403
1025,2026-04-30T15:04:40.290
1028,2026-04-30T15:04:56.298
1027,2026-04-30T15:05:02.305
1001,2026-04-30T15:05:20.314
1036,2026-04-30T15:05:32.317
1016,2026-04-30T15:05:46.321
1012,2026-04-30T15:06:00.325
1004,2026-04-30T15:06:13.328
1009,2026-04-30T15:06:31.330
1041,2026-04-30T15:06:36.334
1045,2026-04-30T15:06:49.337
1030,2026-04-30T15:07:04.341
1016,2026-04-30T15:07:11.343
1034,2026-04-30T15:07:20.348
1046,2026-04-30T15:07:37.351
1044,2026-04-30T15:07:44.354
1007,2026-04-30T15:08:00.358
1044,2026-04-30T15:08:11.361
1039,2026-04-30T15:08:24.365
1017,2026-04-30T15:08:36.369
1025,2026-04-30T15:13:46.305
1033,2026-04-30T15:13:53.312
1035,2026-04-30T15:14:09.325
1032,2026-04-30T15:14:20.329
1046,2026-04-30T15:14:40.334
1023,2026-04-30T15:14:55.337
1001,2026-04-30T17:24:10.280
1024,2026-04-30T17:29:16.598
102030,2026-04-30T17:29:24.619
102030,2026-04-30T17:29:44.635
1019,2026-04-30T17:29:50.639
1011,2026-04-30T17:29:57.646
1025,2026-04-30T17:30:05.651
1040,2026-04-30T17:30:25.654
1029,2026-04-30T17:30:43.658
1029,2026-04-30T17:30:51.664
1046,2026-04-30T17:31:00.667
102030,2026-04-30T17:31:09.671
1045,2026-04-30T17:31:22.674
1002,2026-04-30T17:31:36.677
1029,2026-04-30T17:31:52.682
1043,2026-04-30T17:32:05.696
1023,2026-04-30T17:32:12.706
1007,2026-04-30T17:32:32.710
1019,2026-04-30T17:32:41.713
1027,2026-04-30T17:32:54.717
1007,2026-04-30T17:33:04.721
1013,2026-04-30T17:33:20.734
1049,2026-04-30T17:33:35.737
1050,2026-04-30T17:33:42.741
102030,2026-04-30T17:33:48.744
1029,2026-04-30T17:34:08.749
1021,2026-04-30T17:34:20.751
1004,2026-04-30T17:34:28.755
1015,2026-04-30T17:34:43.758
1038,2026-04-30T17:35:00.761
1007,2026-04-30T17:35:13.765
1006,2026-04-30T17:35:24.770
1040,2026-04-30T17:35:33.773
1025,2026-04-30T17:35:40.775
1027,2026-04-30T17:35:55.773
1010,2026-04-30T17:36:04.774
1011,2026-04-30T17:36:23.771
1013,2026-04-30T17:36:30.772
1002,2026-04-30T17:36:42.772
1003,2026-04-30T17:36:54.773
102020,2026-04-30T17:37:09.772
1022,2026-04-30T17:37:21.771
1014,2026-04-30T17:37:35.772
